１６年分,,,,,,,,,,,
日付,出現,確率,閾値40,閾値50,閾値60,,,,,,
2007/7/16,有,30%,見逃し,見逃し,見逃し,テラス付近霧で今一,,,,,
2007/7/17,有,50%,適中,適中,見逃し,雲海、雲中の繰り返し、７時頃から雲中,,,,,
2007/7/18,有,50%,適中,適中,見逃し,綺麗な雲海、言うこと無し,,,,,
2007/7/19,有,50%,適中,適中,見逃し,串内方面から十勝平野に発生,,,,,
2007/7/20,有,40%,適中,見逃し,見逃し,串内方面に雲海あり、左側は最高！最後に雲海です。,,,,,
2007/7/21,無,30%,適中なし,適中なし,適中なし,朝から霧で何も見えない。6時で中止,,,,,
2007/7/22,有,50%,適中,適中,見逃し,雲海出てました。8時頃消え、晴れ。,,,,,
2007/7/23,有,60%,適中,適中,適中,雲海は低いが出た。,,,,,
2007/7/24,無,50%,空振り,空振り,適中なし,下部に多少雲があるが雲海ではない。,,,,,
2007/7/25,無,50%,空振り,空振り,適中なし,さわやかな朝,,,,,
2007/7/26,無,60%,空振り,空振り,空振り,5時前より雨時々晴れ、テイクアウトで対応する。　7時頃より晴れ,,,,,
2007/7/27,有,70%,適中,適中,適中,16号柱下から低い雲海、トマム全体に広がっている。,,,,,
2007/7/28,無,50%,空振り,空振り,適中なし,中止,,,,,
2007/7/29,無,60%,空振り,空振り,空振り,霧でよく見えないが、お客様は多かった。,,,,,
2007/7/30,有,70%,適中,適中,適中,低いが雲海あり。不安定です。,,,,,
2007/7/31,有,70%,適中,適中,適中,最高の雲海です。,,,,,
2007/8/1,無,70%,空振り,空振り,空振り,強風、お客様は寒がっていた,,,,,
2007/8/2,無,60%,空振り,空振り,空振り,強風の為中止,,,,,
2007/8/3,無,20%,適中なし,適中なし,適中なし,雨の為中止,,,,,
2007/8/4,無,20%,適中なし,適中なし,適中なし,　　　〃,,,,,
2007/8/5,無,60%,空振り,空振り,空振り,雲中営業,,,,,
2007/8/6,無,60%,空振り,空振り,空振り,雲中、7:00で中止,,,,,
2007/8/7,無,40%,空振り,適中なし,適中なし,雲中、6:00から営業,,,,,
2007/8/8,無,60%,空振り,空振り,空振り,雲中中止,,,,,
2007/8/9,無,40%,空振り,適中なし,適中なし,雨の為中止,,,,,
2007/8/10,無,40%,空振り,適中なし,適中なし,　　　〃,,,,,
2007/8/11,無,50%,空振り,空振り,適中なし,　　　〃,,,,,
2007/8/12,無,50%,空振り,空振り,適中なし,雲中営業,,,,,
2007/8/13,有,60%,適中,適中,適中,８号支柱から上トマムにかけて雲海、6:30ごろ消滅,,,,,
2007/8/14,無,50%,空振り,空振り,適中なし,すがすがしい朝,,,,,
2007/8/15,無,50%,空振り,空振り,適中なし,　　　〃,,,,,
2007/8/16,無,50%,空振り,空振り,適中なし,雨の為中止,,,,,
2007/8/17,無,40%,空振り,適中なし,適中なし,　　　〃,,,,,
2007/8/18,無,50%,空振り,空振り,適中なし,雲中営業,,,,,
2007/8/19,有,60%,適中,適中,適中,朝一少し発生、その後雲海、晴れたら雲海無し,,,,,
2007/8/20,有,80%,適中,適中,適中,ガレリア上層部見えるぐらいの雲海,,,,,
2007/8/21,無,60%,空振り,空振り,空振り,晴れたり、曇ったり、霧になったり,,,,,
2007/8/22,無,20%,適中なし,適中なし,適中なし,５時までまったが中止,,,,,
2007/8/23,無,60%,空振り,空振り,空振り,雲海無し、とても寒い,,,,,
2007/8/24,無,70%,空振り,空振り,空振り,低い雲海7:00前に消滅,,,,,
2007/8/25,有,60%,適中,適中,適中,占冠方面から雲海発生,,,,,
2007/8/26,無,60%,空振り,空振り,空振り,雲が低い,,,,,
2007/8/27,無,50%,空振り,空振り,適中なし,秋を感じる日,,,,,
2007/8/28,無,50%,空振り,空振り,適中なし,下部に霧が発生、けして雲海ではない？？？,,,,,
2007/8/29,無,60%,空振り,空振り,空振り,晴天,,,,,
2007/8/30,無,50%,空振り,空振り,適中なし,雲海無し,,,,,
2007/8/31,有,50%,適中,適中,見逃し,久し振りの雲海（60%）途中霧になり、また発生、串内方面良好,,,,,
2007/9/1,有,60%,適中,適中,適中,薄い雲海だがとても綺麗,,,,,
2007/9/2,無,70%,空振り,空振り,空振り,霧の為営業を中止したが、４４名のお客が待っていたので、CSを考慮し、無料営業,,,,,
2007/9/3,無,40%,空振り,適中なし,適中なし,雨で中止,,,,,
2007/9/4,無,30%,適中なし,適中なし,適中なし,雨で中止,,,,,
2007/9/5,無,20%,適中なし,適中なし,適中なし,時々小雨,,,,,
2007/9/6,無,,,,,朝雲海が見えたが、営業中は霧の中,,,,,
2007/9/7,無,30%,適中なし,適中なし,適中なし,雨で中止,,,,,
2007/9/8,無,,,,,雨で中止,,,,,
2007/9/9,無,40%,空振り,適中なし,適中なし,下部に発生、上空は曇り時々晴れ,,,,,
2007/9/10,無,40%,空振り,適中なし,適中なし,雨で中止,,,,,
2007/9/11,無,60%,空振り,空振り,空振り,霧の中で６：００から営業霧が出たり晴れたり,,,,,
2007/9/12,無,50%,空振り,空振り,適中なし,久し振りの晴れ、日の出が綺麗,,,,,
2007/9/13,無,50%,空振り,空振り,適中なし,雲中で５：００過ぎ晴れてきて、５：３０より営業、狩勝方面雲海,,,,,
2007/9/14,無,60%,空振り,空振り,空振り,雲中営業中止、無料で乗車１５名,,,,,
2007/9/15,無,50%,空振り,空振り,適中なし,途中から雨,,,,,
2007/9/16,無,30%,適中なし,適中なし,適中なし,雨で中止,,,,,
2007/9/17,有,50%,適中,適中,見逃し,久し振りの雲海５０％,,,,,
2007/9/18,無,30%,適中なし,適中なし,適中なし,久し振りの晴れ、爽やかな朝,,,,,
2007/9/19,無,40%,空振り,適中なし,適中なし,十勝方面（串内）に雲海,,,,,
2007/9/20,無,40%,空振り,適中なし,適中なし,雨で中止,,,,,
2007/9/21,無,40%,空振り,適中なし,適中なし,雨で中止,,,,,
2007/9/22,無,50%,空振り,空振り,適中なし,曇りで気温高い,,,,,
2007/9/23,無,60%,空振り,空振り,空振り,爽やかな朝,,,,,
2007/9/24,無,50%,空振り,空振り,適中なし,爽やかな朝,,,,,
2007/9/25,無,50%,空振り,空振り,適中なし,朝一小雨で晴れる、雲海無し、お客いない,,,,,
2007/9/26,無,50%,空振り,空振り,適中なし,非常に寒い朝,,,,,
2007/9/27,無,40%,空振り,適中なし,適中なし,お客少ない,,,,,
2007/9/28,無,30%,適中なし,適中なし,適中なし,雨で中止,,,,,
2007/9/29,無,50%,空振り,空振り,適中なし,テラスは霧の中で営業中止,,,,,
